MONTEVIDEO,MONTEVIDEO
ROCHA,CAPACHO
ROCHA,BARRA DE VALIZAS
ROCHA,LA ESMERALDA
ROCHA,LA PEDRERA
ROCHA,PARALLE
ROCHA,PUERTO DE LOS BOTES
ROCHA,PUIMAYEN
ROCHA,ARACHANIA
ROCHA,PTA. RUBIA Y STA. ISABEL DE LA PED
ROCHA,PUNTA DEL DIABLO
ROCHA,PALMARES DE LA CORONILLA
ROCHA,LA RIBIERA
ROCHA,PUENTE VALIZAS
ROCHA,OCEANIA DEL POLONIO
ROCHA,PUEBLO NUEVO
ROCHA,TAJAMARES DE LA PEDRERA
ROCHA,SAN ANTONIO
SALTO,SALTO
SALTO,BELEN
SALTO,CONSTITUCION
SALTO,FERNANDEZ
SALTO,SAN ANTONIO
SALTO,CHACRAS DE BELEN
SALTO,ALBISU
SALTO,BIASSINI
SALTO,CAMPO DE TODOS
SALTO,CAYETANO
SALTO,CUCHILLA DE GUAVIYU
SALTO,TERMAS DEL DAYMAN
SALTO,PALOMAS
SALTO,PASO DEL PARQUE DEL DAYMAN
SALTO,QUINTANA
SALTO,SARANDI DE ARAPEY
SALTO,SAUCEDO
SALTO,ARENITAS BLANCAS
SALTO,CELESTE
SALTO,CERROS DE VERA
SALTO,GARIBALDI
SALTO,TERMAS DEL ARAPEY
SALTO,LAS FLORES
SALTO,LAURELES
SALTO,LLUVERAS
SALTO,MIGLIARO
SALTO,OLIVERA
SALTO,PASO DE LAS PIEDRAS DE ARERUNGUA
SALTO,PUNTAS DE VALENTIN
SALTO,RINCON DE VALENTIN
SALTO,COLONIA 18 DE JULIO
SALTO,PARQUE JOSE LUIS
SALTO,COLONIA ITAPEBI
SALTO,GUAVIYU DE ARAPEY
SALTO,RUSSO
SALTO,PASO CEMENTERIO
SALTO,OSIMANI Y LLERENA
SAN JOSÉ,SAN JOSE DE MAYO
SAN JOSÉ,LIBERTAD
SAN JOSÉ,DELTA DEL TIGRE Y VILLAS
SAN JOSÉ,RODRIGUEZ
SAN JOSÉ,ITUZAINGO
SAN JOSÉ,SANTA MONICA
SAN JOSÉ,PUNTAS DE VALDEZ
SAN JOSÉ,GONZALEZ
SAN JOSÉ,MAL ABRIGO
SAN JOSÉ,PLAYA PASCUAL
SAN JOSÉ,18 DE JULIO (PUEBLO NUEVO)
SAN JOSÉ,RAFAEL PERAZA
SAN JOSÉ,RAIGON
SAN JOSÉ,SAFICI (PARQUE POSTEL)
SAN JOSÉ,JUAN SOLER
SAN JOSÉ,BOCA DEL CUFRE
SAN JOSÉ,CAPURRO
SAN JOSÉ,VILLA MARIA
SAN JOSÉ,ECILDA PAULLIER
SAN JOSÉ,KIYU-ORDEIG
SAN JOSÉ,LA BOYADA
SAN JOSÉ,CAÐADA GRANDE
SAN JOSÉ,RINCON DEL PINO
SAN JOSÉ,SAN GREGORIO
SAN JOSÉ,SCAVINO
SAN JOSÉ,MONTE GRANDE
SAN JOSÉ,CERAMICAS DEL SUR
SAN JOSÉ,RADIAL
SAN JOSÉ,COLOLO TINOSA
SAN JOSÉ,MANGRULLO
SAN JOSÉ,CARRETA QUEMADA
SAN JOSÉ,COSTAS DE PEREIRA
SAN JOSÉ,COLONIA DELTA
SORIANO,MERCEDES
SORIANO,DOLORES
SORIANO,CARDONA
SORIANO,JOSE ENRIQUE RODO
SORIANO,PALMITAS
SORIANO,VILLA SORIANO
SORIANO,PALMAR
SORIANO,EGAÐA
SORIANO,SANTA CATALINA
SORIANO,AGRACIADA
SORIANO,CASTILLOS
SORIANO,RISSO
SORIANO,SACACHISPAS
SORIANO,CAÐADA NIETO
SORIANO,CUCHILLA DEL PERDIDO
SORIANO,EL TALA
SORIANO,LA CONCORDIA
SORIANO,LA LOMA
SORIANO,PALO SOLO
SORIANO,CHACRAS DE DOLORES
SORIANO,COLONIA CONCORDIA
SORIANO,PERSEVERANO
SORIANO,LARES
TACUAREMBÓ,TACUAREMBO
TACUAREMBÓ,PASO DE LOS TOROS
TACUAREMBÓ,SAN GREGORIO DE POLANCO
TACUAREMBÓ,TAMBORES
TACUAREMBÓ,ACHAR
TACUAREMBÓ,ANSINA
TACUAREMBÓ,CURTINA
TACUAREMBÓ,PASO DEL CERRO
TACUAREMBÓ,CLARA
TACUAREMBÓ,CUCHILLA DEL OMBU
TACUAREMBÓ,LA HILERA
TACUAREMBÓ,LAS TOSCAS
TACUAREMBÓ,PASO BONILLA
TACUAREMBÓ,PUEBLO DE ARRIBA
TACUAREMBÓ,PUEBLO DEL BARRO
TACUAREMBÓ,RINCON DEL BONETE
TACUAREMBÓ,BALNEARIO IPORA
TACUAREMBÓ,PIEDRA SOLA
TACUAREMBÓ,CARDOZO
TACUAREMBÓ,CHAMBERLAIN
TACUAREMBÓ,CUCHILLA DE PERALTA
TACUAREMBÓ,LA PEDRERA
TACUAREMBÓ,LAURELES
TACUAREMBÓ,MONTEVIDEO CHICO
TACUAREMBÓ,CERRO DE PASTOREO
